Trial ID,LSTM Units Layer 1,LSTM Units Layer 2,Dense Units Layer 1,Dense Units Layer 2,Learning Rate,Score
3,128,512,128,256,0.001,0.8404255509376526
1,512,256,512,128,0.001,0.8085106611251831
2,256,128,256,256,0.001,0.6808510422706604
0,512,512,256,256,0.01,0.5319148898124695
