Trial ID,LSTM Units Layer 1,LSTM Units Layer 2,Dense Units Layer 1,Dense Units Layer 2,Learning Rate,Score
2,512,256,256,512,0.0001,0.957446813583374
3,256,512,512,128,0.0001,0.957446813583374
0,256,256,256,256,0.01,0.5319148898124695
1,512,256,128,256,0.01,0.5319148898124695
